"student_id","choose_method","concepts","interpretation","submit_time","percent_submit","learning_performance","cheat_index","outcome","res_item_difficulty","res_item_score"
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"การออกแบบการวิจัย","Hard",50
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"การออกแบบการวิจัย","Moderate",16.666666666666668
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"มโนทัศน์พื้นฐานการวิจัย","Easy",100
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"มโนทัศน์พื้นฐานการวิจัย","Hard",100
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"เครื่องมือและการเก็บข้อมูล","Moderate",16.666666666666668
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"การออกแบบการวิจัย","Easy",100
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"การออกแบบการวิจัย","Hard",0
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"การออกแบบการวิจัย","Moderate",50
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"มโนทัศน์พื้นฐานการวิจัย","Easy",100
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"มโนทัศน์พื้นฐานการวิจัย","Hard",0
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"มโนทัศน์พื้นฐานการวิจัย","Moderate",75
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123,"เครื่องมือและการเก็บข้อมูล","Moderate",83.33333333333334
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"การออกแบบการวิจัย","Easy",100
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"การออกแบบการวิจัย","Hard",50
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"การออกแบบการวิจัย","Moderate",16.666666666666668
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"มโนทัศน์พื้นฐานการวิจัย","Easy",50
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"มโนทัศน์พื้นฐานการวิจัย","Hard",0
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"เครื่องมือและการเก็บข้อมูล","Hard",33.333333333333336
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746,"เครื่องมือและการเก็บข้อมูล","Moderate",66.66666666666666
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"การออกแบบการวิจัย","Easy",100
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"การออกแบบการวิจัย","Hard",0
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"การออกแบบการวิจัย","Moderate",66.66666666666666
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"มโนทัศน์พื้นฐานการวิจัย","Easy",100
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"มโนทัศน์พื้นฐานการวิจัย","Hard",0
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047,"เครื่องมือและการเก็บข้อมูล","Moderate",66.66666666666666
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"การออกแบบการวิจัย","Easy",100
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"การออกแบบการวิจัย","Hard",0
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"การออกแบบการวิจัย","Moderate",83.33333333333334
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"มโนทัศน์พื้นฐานการวิจัย","Easy",75
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"มโนทัศน์พื้นฐานการวิจัย","Hard",0
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"มโนทัศน์พื้นฐานการวิจัย","Moderate",75
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"เครื่องมือและการเก็บข้อมูล","Easy",75
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1,"เครื่องมือและการเก็บข้อมูล","Moderate",83.33333333333334
"student_14",30,33.3333333333333,27.7777777777778,159.438095833328,87.5,81.4285714285714,0.986961567919026,"การออกแบบการวิจัย","Easy",66.66666666666666
"student_14",30,33.3333333333333,27.7777777777778,159.438095833328,87.5,81.4285714285714,0.986961567919026,"การออกแบบการวิจัย","Hard",0
"student_14",30,33.3333333333333,27.7777777777778,159.438095833328,87.5,81.4285714285714,0.986961567919026,"การออกแบบการวิจัย","Moderate",50
"student_14",30,33.3333333333333,27.7777777777778,159.438095833328,87.5,81.4285714285714,0.986961567919026,"มโนทัศน์พื้นฐานการวิจัย","Easy",50
"student_14",30,33.3333333333333,27.7777777777778,159.438095833328,87.5,81.4285714285714,0.986961567919026,"มโนทัศน์พื้นฐานการวิจัย","Hard",0
"student_14",30,33.3333333333333,27.7777777777778,159.438095833328,87.5,81.4285714285714,0.986961567919026,"มโนทัศน์พื้นฐานการวิจัย","Moderate",75
