student_level,year,province,precipiration_anomaly_mean,precipiration_anomaly_sd,precipiration_anomaly_median,precipiration_anomaly_min,precipiration_anomaly_Q25,precipiration_anomaly_Q75,precipiration_anomaly_max,cmer_risk_mean,cmer_risk_sd,cmer_risk_median,cmer_risk_min,cmer_risk_Q25,cmer_risk_Q75,cmer_risk_max,high_risk_school_mean,high_risk_school_sd
m3,2020,มหาสารคาม,-1.8699987749716875,0.3088937525477263,-1.8954555884955704,-2.3765893640969566,-2.0831506328235836,-1.7368400580775312,-0.996634249460014,0.12069831215142392,0.08212506320277699,0.10646963485342746,0.005897515667488,0.05511415302867466,0.15743465617512187,0.3343917666511449,0,0
m3,2020,มุกดาหาร,-1.0403213047396833,1.1854120098785133,0.01586155304180392,-2.6171562518976494,-2.1624583980326033,0.05815902781994775,0.21148737389071903,0.33639402359395126,0.2834609259928317,0.22932783307685328,0.00658098843647177,0.07210023383747934,0.6055791567783341,0.8699289894668347,0.03846153846153846,0.19355241528469092
m3,2020,ยะลา,0.7477235238612887,0.4841558919591389,0.970198327723674,-0.1533283460707714,0.5782857879824351,1.0369490301079323,1.4619064720195962,0.7831753193035738,0.2193880516651723,0.8628580315306771,0.1299328398441892,0.7320467687929776,0.9202004031935849,0.9629210419426352,0.71875,0.45680340939917435
m3,2020,ยโสธร,-1.5788214678277315,0.9466512651042843,-2.1624583980326033,-2.45854072147961,-2.43210479974327,-1.2557062824761451,0.0449410669517778,0.2067217301471871,0.18420556178890915,0.13344769520492986,0.01014736029898639,0.07225096307680627,0.3329602310641031,0.8482341218854684,0.010752688172043017,0.10369516947304261
m3,2020,ระนอง,0.10960739858374768,0.17824670839030363,0.12953601650806543,-0.232636111279791,0.10772638107558505,0.17976426780711124,0.34102339039878465,0.5883974816297116,0.1971434958092818,0.6067004980622546,0.02030470758366184,0.5231283689801938,0.7499476155158125,0.8902340728035749,0.11538461538461536,0.32581259360842113
m3,2020,ระยอง,0.06022102971538226,0.14234705751513446,0,0,0,0.04758465912541176,0.47849018342775207,0.45431757548929425,0.17621227745575185,0.5099994662443392,0.00251054729415791,0.35255779284549404,0.5774708207238972,0.721288685845741,0,0
m3,2020,ราชบุรี,0.465649878584387,0.9479179587031114,0.8538802720837785,-1.488342393755936,0.13217960868169942,0.98077269641821,1.6839682146048514,0.5415928435287694,0.30003426711128056,0.6046228575511242,0.01994369424702618,0.26118146039921425,0.8283353983380058,0.9549028435966485,0.2857142857142857,0.45834924851410574
m3,2020,ร้อยเอ็ด,-1.7519199037561635,0.8738817092887583,-2.0963685936917535,-2.532561302341362,-2.3554406267078845,-1.3350140476851644,0.25907203301613096,0.17925847899602196,0.21399032332861148,0.09762060305279684,0.00412861594321263,0.05653377949132252,0.17703585637036212,0.9524185075713324,0.021505376344086037,0.14545322447948447
m3,2020,ลพบุรี,-0.24480387799679135,0.9544487220604212,0.08459494955628777,-1.7209785050357271,-1.4381141424568904,0.45734144603868015,0.8327315346947066,0.4756130216659756,0.28031584400914356,0.48778392595306513,0.0222809462642404,0.20360707376152928,0.76051384306777,0.8822225476851064,0.15068493150684936,0.36021725222088496
m3,2020,ลำปาง,-0.05476478601676335,0.9792371094433804,0.30930028431517675,-2.1280916997753616,-1.1684677407462232,0.6979083338393733,1.6099476337430996,0.46884756922722703,0.2869946521128948,0.4950219644825382,0.0230874367242203,0.17935468925119094,0.7475077681302682,0.9094383871514804,0.18518518518518523,0.39086797998528605
m3,2020,ลำพูน,0.2623450518977731,0.593001333822854,0.22999251910615703,-0.8433059033892426,-0.1956258208489152,0.7111262947075432,1.263637058997047,0.448055414943023,0.23821050439241126,0.4354906537975649,0.02376901534406001,0.24630410796512492,0.6777330992791594,0.818269710791699,0.09523809523809523,0.3007926037591192
m3,2020,ศรีสะเกษ,-0.36282397243340997,0.6261813340656628,0.02907951390997387,-2.4532535371323423,-1.1790421094407593,0.06608980434084977,0.30930028431517675,0.45469951724601454,0.22052504580639562,0.4738966634453814,0.00335997959718316,0.2783419910890333,0.6480361491649828,0.90163053612337,0.03196347031963467,0.17630581890206348
m3,2020,สกลนคร,-0.66147587776339,1.21941771161104,-0.8142263894792687,-2.3580842188815185,-1.8663760745855968,0.4150439712605364,1.4222525894150864,0.3917937766348732,0.28834107278945176,0.33156159816498965,0.00230823494567584,0.12341582474046989,0.6558692613829062,0.9668653088088766,0.10928961748633875,0.3128582135963318
m3,2020,สงขลา,0.47989160578485923,0.43026607374387565,0.43883630082324226,-0.11631805563989552,0.04229747477814383,0.740205808617517,1.255706282476145,0.604796123682197,0.24201389101573736,0.672359105139106,0.01210264578271128,0.4528331724517154,0.7863927104936381,0.948042466725598,0.22891566265060243,0.42268887262899724
m3,2020,สตูล,0.19025051676252608,0.1911087382626442,0.2075219856302682,0,0,0.3780336808296605,0.3780336808296605,0.6046441584770181,0.22472511560937736,0.6434510347239135,0.0538975285003305,0.5098753764687025,0.7652986630593424,0.952070542054272,0.13333333333333333,0.3457459036417604
m3,2020,สมุทรปราการ,-1.1551208241622664,0.45507538930439256,-0.8195135738265367,-1.6363835554794397,-1.6363835554794397,-0.8195135738265367,0.12424883216079752,0.2294269060536973,0.1625203833286619,0.19167422916506455,0.00485998128739496,0.11506295458579388,0.3131240657466401,0.7037683044455536,0,0
m3,2020,สมุทรสงคราม,-1.3945965482139921,0.33800545296320544,-1.488342393755936,-1.488342393755936,-1.488342393755936,-1.488342393755936,-0.2696464017106669,0.17017498976237613,0.16409335727780883,0.14645226815173168,0.00549155141950951,0.05516814198728483,0.23661521902746369,0.6312544594342403,0,0
m3,2020,สมุทรสาคร,-0.44808887343096115,0.18264169264023042,-0.44808887343096115,-0.6265313451512554,-0.6265313451512554,-0.2696464017106669,-0.2696464017106669,0.2945346730407623,0.18340492263879885,0.2596167523939061,0.01981875210745278,0.17592804669836354,0.3679671362188056,0.8784872737545499,0.04545454545454547,0.21320071635561047
m3,2020,สระบุรี,-0.17264275419650538,0.6252088979657983,0.0634462121672158,-1.4381141424568904,-0.745492992964785,0.3251618373569807,0.4732029990804841,0.48192831999374103,0.20621552629469134,0.47696908218117345,0.04990992367350485,0.33947461816551483,0.6725494131495339,0.8082707688741679,0.020408163265306107,0.1428571428571429
m3,2020,สระแก้ว,-0.3788684994108081,0.7635531668040202,0,-1.9641889850100545,-0.8089392051320008,0.09252572607718967,0.4124003790869024,0.4744683911885081,0.2156600652865579,0.5335396547785998,0.05072486473315058,0.2914164180314783,0.670792914377939,0.8316441805532307,0.013157894736842094,0.1147078669352809
